pelicula_id,year,name
1,2003,Something's Gotta Give
2,1992,Reservoir Dogs
3,2003,X2: X-Men United
4,2004,Taking Lives
5,1959,North by Northwest
6,2004,Harold and Kumar Go to White Castle
7,2001,Bridget Jones's Diary
8,2000,High Fidelity
9,2000,Pay It Forward
10,1999,Dogma
11,1997,Chasing Amy
12,2003,House of Sand and Fog
13,2005,Hostage
14,2004,Kill Bill: Vol. 2
15,2003,The Matrix: Revolutions
16,2002,Frida
17,2001,Rush Hour 2
18,1999,American Beauty
19,1994,Speed
20,1991,Robin Hood: Prince of Thieves
21,2000,The Perfect Storm
22,2004,Mean Girls
23,1994,Clerks
24,1975,Jaws
25,2004,Ray
26,1999,The Mummy
27,2003,Uptown Girls
28,2005,Coach Carter
29,2001,Training Day
30,2003,Secondhand Lions
31,1991,Fried Green Tomatoes
32,2001,The Wedding Planner
33,2001,A Beautiful Mind
34,1983,National Lampoon's Vacation
35,2004,Man on Fire
36,2001,Dr. Dolittle 2
37,2003,S.W.A.T.
38,1994,The Professional
39,1991,Hook
40,2003,The Recruit
41,1969,Midnight Cowboy
42,2002,Bend It Like Beckham
43,2002,National Lampoon's Van Wilder
44,1993,Sleepless in Seattle
45,2003,American Wedding
46,1982,Poltergeist
47,2001,Life as a House
48,1995,The American President
49,1986,Aliens: Collector's Edition
50,1980,Nine to Five
51,1993,Grumpy Old Men
52,1998,Ever After: A Cinderella Story
53,2004,The Life Aquatic with Steve Zissou
54,1984,Beverly Hills Cop
55,1984,Sixteen Candles
56,1987,Lethal Weapon
57,1990,Die Hard 2: Die Harder
58,1998,U.S. Marshals
59,1994,Beverly Hills Cop III
60,2004,Eternal Sunshine of the Spotless Mind
61,2003,Pirates of the Caribbean: The Curse of the Black Pearl
62,2004,50 First Dates
63,2000,Hollow Man
64,1999,The Talented Mr. Ripley
65,1997,Liar Liar
66,2003,Identity
67,1999,Being John Malkovich
68,1993,Rudy
69,2000,What Women Want
70,1995,Bad Boys
71,2002,Collateral Damage
72,1981,On Golden Pond
73,1992,Aladdin: Platinum Edition
74,2004,Super Size Me
75,2004,The Bourne Supremacy
76,2004,Along Came Polly
77,1996,Scream
78,1979,Alien: Collector's Edition
79,2001,Lord of the Rings: The Fellowship of the Ring
80,1987,Planes Trains and Automobiles
81,1984,This Is Spinal Tap
82,1992,Wayne's World
83,2001,Y Tu Mama Tambien
84,2003,Freaky Friday
85,2001,Don't Say a Word
86,2002,Ghost Ship
