folioviv,foliohog,tam_loc,educa_jefe,celular,tv_paga,conex_inte,num_auto,num_tosta,num_lavad,num_compu,ing_cor,factor
0100003801,1,100 mil+,10,Si,Si,Si,2,1,1,1,100696.7,247
0100003802,1,100 mil+,10,Si,No,No,1,0,1,0,146616.16,247
0100003803,1,100 mil+,10,Si,Si,Si,1,0,1,1,94622.95,247
0100003804,1,100 mil+,11,Si,Si,Si,3,1,1,1,58278.65,247
0100003805,1,100 mil+,10,Si,No,Si,1,0,1,2,57295.07,247
0100010401,1,100 mil+,10,Si,Si,Si,2,0,1,1,149554.7,200
0100010402,1,100 mil+,11,Si,Si,Si,0,0,1,0,33841.02,200
0100010404,1,100 mil+,10,No,Si,No,0,0,1,0,22472.93,200
0100010405,1,100 mil+,08,Si,Si,Si,1,0,1,1,74905.9,200
0100010406,1,100 mil+,10,Si,Si,Si,1,0,1,2,62057.98,200
0100027701,1,100 mil+,10,Si,Si,Si,3,1,1,4,637910.94,205
0100027702,1,100 mil+,04,Si,Si,Si,1,0,2,1,88682.93,205
0100027703,1,100 mil+,03,Si,No,No,0,0,1,0,26416.55,205
0100027706,1,100 mil+,10,Si,Si,Si,1,0,1,1,58667.82,205
0100031901,1,100 mil+,04,Si,No,No,0,0,1,0,22989.1,182
0100031902,1,100 mil+,04,Si,No,No,0,0,0,0,9946.69,182
0100031903,1,100 mil+,06,Si,Si,Si,1,0,1,0,61258.04,182
0100031904,1,100 mil+,04,No,No,Si,1,0,1,1,33217.45,182
0100031905,1,100 mil+,10,Si,No,No,0,0,1,1,40940.2,182
0100031906,1,100 mil+,10,Si,Si,Si,1,0,1,1,18141.98,182
0100041501,1,100 mil+,10,Si,Si,Si,1,1,1,2,53101.87,201
0100041502,1,100 mil+,08,Si,Si,Si,0,0,1,1,28519.44,201
0100041505,1,100 mil+,08,Si,Si,Si,1,1,1,1,86711.76,201
0100041506,1,100 mil+,04,No,Si,No,0,0,1,0,51217.05,201
0100062601,1,100 mil+,03,No,No,Si,0,0,1,1,58169.43,181
0100062603,1,100 mil+,06,Si,No,No,0,0,0,0,11773.75,181
0100062604,1,100 mil+,03,Si,No,Si,0,0,1,0,58952.39,181
0100062605,1,100 mil+,04,No,No,No,1,0,1,0,22918.24,181
0100062606,1,100 mil+,04,Si,No,No,0,0,0,0,6819.98,181
0100068001,1,100 mil+,01,No,No,No,0,0,0,0,15017.96,160
0100068002,1,100 mil+,06,Si,Si,Si,1,0,1,1,64245.51,160
0100068003,1,100 mil+,01,Si,No,Si,0,0,1,0,15359.18,160
0100068003,2,100 mil+,06,Si,No,No,0,0,0,1,27709.72,160
0100068004,1,100 mil+,07,Si,No,Si,1,0,1,1,29791.25,160
0100068005,1,100 mil+,03,No,Si,No,0,0,1,0,17118.34,160
0100068006,1,100 mil+,10,Si,No,Si,1,0,1,1,78614.38,160
0100074201,1,100 mil+,08,Si,Si,No,0,0,1,0,17469.32,180
0100074202,1,100 mil+,04,Si,No,No,0,0,1,0,18736.77,180
0100074203,1,100 mil+,06,Si,Si,Si,0,0,1,1,38704.34,180
0100074204,1,100 mil+,06,Si,No,No,0,0,1,0,26743.45,180
0100074205,1,100 mil+,06,Si,Si,Si,1,0,0,0,28319.99,180
